fold,accuracy,type
1,1.0,fold
2,1.0,fold
3,1.0,fold
4,1.0,fold
5,1.0,fold
6,1.0,fold
7,1.0,fold
8,1.0,fold
9,0.99,fold
10,1.0,fold
mean,0.999,summary
std,0.0030000000000000027,summary
