,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,100,0,0,0,0,0,0,0,0,0
Cuboid,2,97,0,0,1,0,0,0,0,0
Cylinder,1,0,98,0,1,0,0,0,0,0
CylindricalPipe,0,0,0,92,0,0,7,1,0,0
Hemisphere,0,1,6,0,92,0,0,0,0,1
Pyramid,0,0,0,1,0,93,0,0,6,0
RectangularPipe,0,0,0,5,0,0,95,0,0,0
Sphere,0,0,0,0,0,0,2,98,0,0
Tetrahedron,0,0,0,0,0,13,0,0,87,0
Toroid,0,0,0,0,0,0,1,0,0,99
