,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,93,0,0,0,0,0,0,0,7,0
Cuboid,9,84,4,0,3,0,0,0,0,0
Cylinder,2,3,93,0,2,0,0,0,0,0
CylindricalPipe,0,0,0,71,0,0,26,3,0,0
Hemisphere,0,4,17,0,78,0,0,0,0,1
Pyramid,0,0,0,1,0,79,0,0,20,0
RectangularPipe,0,0,0,17,0,0,77,4,0,2
Sphere,0,0,0,1,0,0,1,98,0,0
Tetrahedron,0,0,0,0,0,13,0,0,87,0
Toroid,0,0,3,0,1,0,1,0,0,95
