fold,accuracy,type
1,0.94,fold
2,0.96,fold
3,0.95,fold
4,0.94,fold
5,0.92,fold
6,0.96,fold
7,0.97,fold
8,0.94,fold
9,0.95,fold
10,0.98,fold
mean,0.951,summary
std,0.016401219466856718,summary
