fold,accuracy,type
1,0.91,fold
2,0.97,fold
3,1.0,fold
4,0.99,fold
5,1.0,fold
6,1.0,fold
7,0.99,fold
8,1.0,fold
9,1.0,fold
10,0.91,fold
mean,0.977,summary
std,0.0346554469023269,summary
