fold,accuracy,type
1,0.91,fold
2,0.97,fold
3,0.97,fold
4,0.98,fold
5,0.98,fold
6,1.0,fold
7,0.97,fold
8,0.97,fold
9,0.93,fold
10,0.99,fold
mean,0.967,summary
std,0.025709920264364864,summary
