,0,1,2,3,4,5,6,7,8,9
0,92,0,0,0,0,0,8,0,0,0
1,0,93,7,0,0,0,0,0,0,0
2,1,8,89,1,0,0,0,1,0,0
3,0,1,0,92,0,2,3,0,2,0
4,0,2,0,0,97,0,0,0,1,0
5,0,2,2,4,0,91,0,0,0,1
6,5,0,0,0,0,1,94,0,0,0
7,0,0,0,0,0,0,0,100,0,0
8,0,0,0,0,0,0,0,0,100,0
9,0,0,0,0,0,0,1,0,0,99
