fold,accuracy,type
1,0.925,fold
2,0.965,fold
3,0.975,fold
4,0.98,fold
5,0.98,fold
6,0.995,fold
7,0.97,fold
8,0.97,fold
9,0.93,fold
10,0.96,fold
mean,0.9649999999999999,summary
std,0.02085665361461419,summary
