,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,85,0,0,7,1,1,1,1,2,2
Cuboid,0,99,1,0,0,0,0,0,0,0
Cylinder,0,1,98,0,0,0,0,0,0,1
CylindricalPipe,1,0,9,82,0,0,6,2,0,0
Hemisphere,0,0,3,0,93,1,0,0,0,3
Pyramid,1,0,1,1,0,87,0,0,10,0
RectangularPipe,1,0,0,2,0,0,89,8,0,0
Sphere,0,0,0,7,0,1,0,87,0,5
Tetrahedron,8,1,1,2,0,11,0,0,76,1
Toroid,1,0,4,0,0,0,0,3,0,92
