,0,1,2,3,4,5,6,7,8,9
0,71,0,0,0,0,0,4,0,22,3
1,1,63,31,0,0,1,0,0,1,3
2,1,17,72,1,0,0,0,1,3,5
3,2,0,5,76,0,0,0,15,0,2
4,1,0,0,0,89,1,1,0,4,4
5,2,0,0,0,0,49,23,0,4,22
6,6,0,0,0,0,6,77,0,4,7
7,0,0,1,2,0,0,0,97,0,0
8,2,0,0,0,0,2,2,0,93,1
9,3,0,0,0,0,0,9,0,7,81
