,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,81,0,0,3,0,1,3,1,8,3
Cuboid,0,78,11,0,0,0,10,0,1,0
Cylinder,15,10,33,16,10,0,1,9,5,1
CylindricalPipe,0,0,1,84,2,0,5,8,0,0
Hemisphere,0,0,1,3,93,0,0,3,0,0
Pyramid,2,0,0,0,0,81,0,0,16,1
RectangularPipe,1,2,1,11,0,0,81,4,0,0
Sphere,2,0,7,13,8,0,3,60,4,3
Tetrahedron,2,0,1,1,0,40,0,1,49,6
Toroid,5,0,1,1,0,0,1,3,3,86
