,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,80,0,8,0,10,0,0,0,2,0
Cuboid,0,88,0,0,6,0,6,0,0,0
Cylinder,0,3,91,1,5,0,0,0,0,0
CylindricalPipe,0,0,17,56,23,0,1,0,2,1
Hemisphere,0,0,1,0,96,0,0,2,0,1
Pyramid,1,0,2,0,7,73,0,0,15,2
RectangularPipe,2,21,22,0,20,0,30,0,5,0
Sphere,1,5,26,0,15,0,0,52,0,1
Tetrahedron,0,0,5,0,3,9,0,0,83,0
Toroid,0,1,6,0,14,0,0,0,0,79
