fold,accuracy,type
1,0.23,fold
2,0.09,fold
3,0.35,fold
4,0.13,fold
5,0.21,fold
6,0.11,fold
7,0.16,fold
8,0.21,fold
9,0.39,fold
10,0.09,fold
mean,0.197,summary
std,0.09920181449953423,summary
