,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,99,0,0,0,0,1,0,0,0,0
Cuboid,0,95,5,0,0,0,0,0,0,0
Cylinder,0,5,95,0,0,0,0,0,0,0
CylindricalPipe,0,1,2,94,0,0,3,0,0,0
Hemisphere,0,0,0,0,100,0,0,0,0,0
Pyramid,0,0,0,0,0,99,0,0,1,0
RectangularPipe,1,0,0,3,0,0,96,0,0,0
Sphere,1,0,0,1,0,0,0,97,0,1
Tetrahedron,2,0,0,0,0,4,0,0,94,0
Toroid,0,0,0,0,0,0,0,0,0,100
