fold,accuracy,type
1,0.95,fold
2,0.99,fold
3,0.99,fold
4,0.99,fold
5,0.98,fold
6,1.0,fold
7,0.99,fold
8,0.98,fold
9,0.99,fold
10,0.97,fold
mean,0.983,summary
std,0.013453624047073722,summary
