,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,98,0,0,0,1,0,1,0,0,0
Cuboid,0,99,0,0,0,0,0,0,1,0
Cylinder,0,0,100,0,0,0,0,0,0,0
CylindricalPipe,0,0,0,97,1,0,1,1,0,0
Hemisphere,0,0,0,0,99,0,0,1,0,0
Pyramid,0,0,0,0,0,94,0,0,6,0
RectangularPipe,0,1,0,1,0,0,98,0,0,0
Sphere,0,0,0,1,0,1,0,96,0,2
Tetrahedron,3,0,0,0,0,9,1,0,87,0
Toroid,0,0,0,0,0,0,0,0,0,100
