fold,accuracy,type
1,0.67,fold
2,0.57,fold
3,0.63,fold
4,0.5,fold
5,0.46,fold
6,0.56,fold
7,0.64,fold
8,0.48,fold
9,0.66,fold
10,0.69,fold
mean,0.586,summary
std,0.07977468270071653,summary
