fold,accuracy,type
1,0.99,fold
2,0.96,fold
3,1.0,fold
4,0.98,fold
5,0.98,fold
6,1.0,fold
7,0.99,fold
8,0.99,fold
9,0.96,fold
10,0.97,fold
mean,0.982,summary
std,0.014000000000000012,summary
