fold,accuracy,type
1,0.98,fold
2,0.93,fold
3,0.93,fold
4,1.0,fold
5,0.93,fold
6,0.96,fold
7,0.93,fold
8,0.96,fold
9,0.99,fold
10,0.95,fold
mean,0.9560000000000001,summary
std,0.02537715508089902,summary
