,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,47,8,13,0,0,9,0,0,13,10
Cuboid,2,64,30,0,4,0,0,0,0,0
Cylinder,4,28,62,1,4,0,0,0,0,1
CylindricalPipe,8,9,31,42,0,0,1,6,0,3
Hemisphere,0,0,2,1,96,0,0,0,1,0
Pyramid,21,0,0,0,0,38,0,0,41,0
RectangularPipe,16,19,9,13,0,0,28,12,1,2
Sphere,2,3,9,3,9,0,2,56,13,3
Tetrahedron,9,0,1,0,1,27,0,1,61,0
Toroid,3,2,26,7,3,0,0,3,0,56
