fold,accuracy,type
1,0.09,fold
2,0.06,fold
3,0.14,fold
4,0.04,fold
5,0.32,fold
6,0.46,fold
7,0.1,fold
8,0.2,fold
9,0.36,fold
10,0.11,fold
mean,0.188,summary
std,0.1360735095453924,summary
