,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,7,7,46,0,22,2,0,0,13,3
Cuboid,0,25,12,2,39,0,3,9,0,10
Cylinder,2,0,23,15,39,2,1,2,3,13
CylindricalPipe,0,0,53,1,35,0,0,0,7,4
Hemisphere,0,5,25,7,50,0,0,6,0,7
Pyramid,1,0,34,0,26,13,0,0,24,2
RectangularPipe,1,14,38,0,42,0,0,0,5,0
Sphere,0,15,22,3,49,0,0,5,0,6
Tetrahedron,5,4,22,1,14,10,0,0,42,2
Toroid,0,4,20,0,45,0,0,0,0,31
