fold,accuracy,type
1,0.51,fold
2,0.37,fold
3,0.6,fold
4,0.56,fold
5,0.6,fold
6,0.56,fold
7,0.57,fold
8,0.6,fold
9,0.71,fold
10,0.42,fold
mean,0.55,summary
std,0.09197825830053534,summary
