,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,77,0,1,0,1,9,0,0,10,2
Cuboid,0,72,26,0,1,0,0,0,0,1
Cylinder,0,30,70,0,0,0,0,0,0,0
CylindricalPipe,1,0,0,58,1,2,37,1,0,0
Hemisphere,1,1,0,0,92,0,1,0,1,4
Pyramid,7,0,0,0,0,84,0,0,9,0
RectangularPipe,0,0,0,19,0,0,80,1,0,0
Sphere,2,1,0,1,1,3,13,73,3,3
Tetrahedron,11,0,1,0,0,7,0,0,81,0
Toroid,2,1,0,0,5,0,0,1,0,91
