fold,accuracy,type
1,0.87,fold
2,0.92,fold
3,0.96,fold
4,0.94,fold
5,0.94,fold
6,0.99,fold
7,0.95,fold
8,0.98,fold
9,0.95,fold
10,0.94,fold
mean,0.944,summary
std,0.031368774282716234,summary
