,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,89,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0
1,0,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3,0,0,0,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,71,0,0,3,0,0,26,0,0,0
11,5,0,0,0,0,0,4,0,0,0,0,89,1,0,0,0,1,0,0,0
12,23,0,0,0,0,0,0,0,0,0,0,1,65,0,3,8,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,0,0,98,0,0,1,0,0,0
14,2,0,0,0,0,0,0,0,0,0,0,0,3,0,82,4,0,0,9,0
15,17,0,0,0,0,0,1,0,0,0,0,0,2,0,2,76,0,0,2,0
16,0,0,0,0,0,0,0,0,1,0,16,2,0,4,0,0,77,0,0,0
17,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,78,0,19
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,7
19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,86
