fold,accuracy,type
1,0.93,fold
2,0.895,fold
3,0.895,fold
4,0.91,fold
5,0.825,fold
6,0.91,fold
7,0.85,fold
8,0.945,fold
9,0.945,fold
10,0.88,fold
mean,0.8985000000000001,summary
std,0.0370168880377592,summary
