fold,accuracy,type
1,0.85,fold
2,0.77,fold
3,0.75,fold
4,0.76,fold
5,0.69,fold
6,0.65,fold
7,0.91,fold
8,0.71,fold
9,0.95,fold
10,0.74,fold
mean,0.778,summary
std,0.0914111590562115,summary
