fold,accuracy,type
1,0.96,fold
2,1.0,fold
3,1.0,fold
4,1.0,fold
5,1.0,fold
6,1.0,fold
7,0.99,fold
8,1.0,fold
9,0.98,fold
10,1.0,fold
mean,0.993,summary
std,0.012688577540449532,summary
