,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,92,0,0,1,0,0,7,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0
12,10,0,0,0,0,0,0,0,0,0,0,1,85,0,1,3,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,2,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,97,0,0,0,2,0
15,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93,0,0,1,0
16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,95,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,0,6
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,87
