,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,93,0,0,0,1,0,0,0,5,1
Cuboid,0,95,5,0,0,0,0,0,0,0
Cylinder,0,7,93,0,0,0,0,0,0,0
CylindricalPipe,0,0,0,91,0,0,9,0,0,0
Hemisphere,0,0,0,0,98,0,0,0,1,1
Pyramid,2,0,0,0,0,94,0,0,4,0
RectangularPipe,0,0,0,3,0,0,97,0,0,0
Sphere,0,0,0,2,0,0,0,98,0,0
Tetrahedron,6,0,0,0,0,8,0,0,86,0
Toroid,0,1,0,0,0,0,0,0,0,99
