fold,accuracy,type
1,0.98,fold
2,0.99,fold
3,1.0,fold
4,0.99,fold
5,1.0,fold
6,1.0,fold
7,0.99,fold
8,1.0,fold
9,0.97,fold
10,0.99,fold
mean,0.991,summary
std,0.009433981132056611,summary
