fold,accuracy,type
1,0.97,fold
2,0.97,fold
3,0.99,fold
4,0.99,fold
5,0.99,fold
6,0.99,fold
7,0.99,fold
8,1.0,fold
9,0.98,fold
10,0.99,fold
mean,0.986,summary
std,0.009165151389911688,summary
