,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,98,0,0,1,0,0,0,0,1,0
Cuboid,0,100,0,0,0,0,0,0,0,0
Cylinder,0,3,97,0,0,0,0,0,0,0
CylindricalPipe,0,0,0,87,0,0,13,0,0,0
Hemisphere,0,0,0,0,100,0,0,0,0,0
Pyramid,0,0,0,0,0,100,0,0,0,0
RectangularPipe,0,0,0,0,0,0,100,0,0,0
Sphere,0,0,0,3,3,0,3,90,0,1
Tetrahedron,0,0,0,1,0,1,0,0,98,0
Toroid,0,0,0,0,2,0,0,0,0,98
