fold,accuracy,type
1,0.89,fold
2,0.98,fold
3,0.98,fold
4,0.98,fold
5,0.98,fold
6,0.98,fold
7,0.98,fold
8,0.98,fold
9,0.96,fold
10,0.97,fold
mean,0.9680000000000002,summary
std,0.026758176320519293,summary
