,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,89,0,0,0,0,0,2,0,0,1,0,0,5,0,1,1,0,0,1,0
1,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,9,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,99,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,3,0,93,1,0,0,2,0,0,1,0,0,0,0,0,0,0
6,0,0,0,0,2,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,1,0,0,0,0,97,0,0,0,0,0,0,0,1,0,0,0,0
8,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,1,0
9,0,0,0,1,0,0,2,0,0,95,0,0,1,0,0,1,0,0,0,0
10,0,0,0,0,0,0,0,0,5,0,78,0,0,3,0,0,13,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,95,1,4,0,0,0,0,0,0
12,3,0,0,0,2,0,0,0,0,1,0,0,92,1,0,0,0,1,0,0
13,0,0,0,0,0,0,0,0,0,0,3,8,0,87,0,0,0,1,1,0
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98,1,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,97,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,92,0,2,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,5,18
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,96,2
19,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,13,14,69
