fold,accuracy,type
1,0.9,fold
2,0.95,fold
3,0.97,fold
4,0.97,fold
5,0.98,fold
6,1.0,fold
7,0.96,fold
8,0.98,fold
9,0.97,fold
10,1.0,fold
mean,0.968,summary
std,0.027129319932501065,summary
