,Cone,Cuboid,Cylinder,CylindricalPipe,Hemisphere,Pyramid,RectangularPipe,Sphere,Tetrahedron,Toroid
Cone,91,0,0,0,1,2,1,0,5,0
Cuboid,0,99,0,0,0,0,0,0,1,0
Cylinder,0,0,97,0,0,0,0,0,0,3
CylindricalPipe,0,0,2,82,0,0,10,6,0,0
Hemisphere,0,0,1,1,96,1,0,0,0,1
Pyramid,6,0,0,0,0,86,0,0,8,0
RectangularPipe,1,0,0,3,0,0,96,0,0,0
Sphere,0,0,0,10,0,0,0,84,0,6
Tetrahedron,9,1,0,1,0,23,0,0,66,0
Toroid,0,0,0,0,0,0,0,3,0,97
